,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
0,3.17,2.95,0.0,0.0,73.21,100.0,900,Weekday,Monday,Light_Load
1,4.0,4.46,0.0,0.0,66.77,100.0,1800,Weekday,Monday,Light_Load
2,3.24,3.28,0.0,0.0,70.28,100.0,2700,Weekday,Monday,Light_Load
3,3.31,3.56,0.0,0.0,68.09,100.0,3600,Weekday,Monday,Light_Load
4,3.82,4.5,0.0,0.0,64.72,100.0,4500,Weekday,Monday,Light_Load
5,3.28,3.56,0.0,0.0,67.76,100.0,5400,Weekday,Monday,Light_Load
6,3.6,4.14,0.0,0.0,65.62,100.0,6300,Weekday,Monday,Light_Load
7,3.6,4.28,0.0,0.0,64.37,100.0,7200,Weekday,Monday,Light_Load
8,3.28,3.64,0.0,0.0,66.94,100.0,8100,Weekday,Monday,Light_Load
9,3.78,4.72,0.0,0.0,62.51,100.0,9000,Weekday,Monday,Light_Load
10,3.46,4.03,0.0,0.0,65.14,100.0,9900,Weekday,Monday,Light_Load
11,3.24,3.64,0.0,0.0,66.49,100.0,10800,Weekday,Monday,Light_Load
12,3.96,4.97,0.0,0.0,62.32,100.0,11700,Weekday,Monday,Light_Load
13,3.31,3.74,0.0,0.0,66.27,100.0,12600,Weekday,Monday,Light_Load
14,3.31,3.85,0.0,0.0,65.19,100.0,13500,Weekday,Monday,Light_Load
15,3.89,5.0,0.0,0.0,61.4,100.0,14400,Weekday,Monday,Light_Load
16,3.28,3.82,0.0,0.0,65.14,100.0,15300,Weekday,Monday,Light_Load
17,3.56,4.28,0.0,0.0,63.95,100.0,16200,Weekday,Monday,Light_Load
18,3.74,4.54,0.0,0.0,63.58,100.0,17100,Weekday,Monday,Light_Load
19,3.31,3.6,0.0,0.0,67.68,100.0,18000,Weekday,Monday,Light_Load
20,3.56,4.07,0.0,0.0,65.84,100.0,18900,Weekday,Monday,Light_Load
21,3.56,4.1,0.0,0.0,65.56,100.0,19800,Weekday,Monday,Light_Load
22,3.28,3.49,0.0,0.0,68.48,100.0,20700,Weekday,Monday,Light_Load
23,3.78,4.32,0.0,0.0,65.85,100.0,21600,Weekday,Monday,Light_Load
24,3.35,3.64,0.0,0.0,67.72,100.0,22500,Weekday,Monday,Light_Load
25,3.24,3.35,0.0,0.0,69.52,100.0,23400,Weekday,Monday,Light_Load
26,3.89,4.46,0.0,0.0,65.73,100.0,24300,Weekday,Monday,Light_Load
27,3.31,3.53,0.0,0.0,68.4,100.0,25200,Weekday,Monday,Light_Load
28,3.28,3.49,0.0,0.0,68.48,100.0,26100,Weekday,Monday,Light_Load
29,3.85,4.75,0.0,0.0,62.97,100.0,27000,Weekday,Monday,Light_Load
30,3.2,3.6,0.0,0.0,66.44,100.0,27900,Weekday,Monday,Light_Load
31,3.31,3.78,0.0,0.0,65.88,100.0,28800,Weekday,Monday,Light_Load
32,3.78,4.75,0.0,0.0,62.27,100.0,29700,Weekday,Monday,Light_Load
33,3.28,3.74,0.0,0.0,65.94,100.0,30600,Weekday,Monday,Light_Load
34,3.49,4.46,0.18,0.0,61.63,99.87,31500,Weekday,Monday,Light_Load
35,3.89,0.0,15.66,0.0,100.0,24.11,32400,Weekday,Monday,Light_Load
36,3.6,0.0,16.96,0.0,100.0,20.76,33300,Weekday,Monday,Light_Load
37,4.03,0.0,21.28,0.0,100.0,18.61,34200,Weekday,Monday,Light_Load
38,3.92,0.0,19.22,0.0,100.0,19.98,35100,Weekday,Monday,Light_Load
39,3.64,0.0,16.88,0.0,100.0,21.08,36000,Weekday,Monday,Light_Load
40,4.07,0.0,22.32,0.0,100.0,17.94,36900,Weekday,Monday,Light_Load
41,3.71,0.0,18.0,0.0,100.0,20.19,37800,Weekday,Monday,Light_Load
42,3.6,0.0,16.92,0.0,100.0,20.81,38700,Weekday,Monday,Light_Load
43,4.21,0.0,23.4,0.0,100.0,17.71,39600,Weekday,Monday,Light_Load
44,3.49,0.0,5.65,0.0,100.0,52.55,40500,Weekday,Monday,Light_Load
45,3.46,0.0,4.82,0.0,100.0,58.31,41400,Weekday,Monday,Light_Load
46,4.0,0.0,6.7,0.0,100.0,51.26,42300,Weekday,Monday,Light_Load
47,3.49,0.0,4.57,0.0,100.0,60.69,43200,Weekday,Monday,Light_Load
48,3.6,0.0,12.89,0.0,100.0,26.9,44100,Weekday,Monday,Light_Load
49,4.25,0.0,23.15,0.0,100.0,18.06,45000,Weekday,Monday,Light_Load
50,3.67,0.0,16.67,0.0,100.0,21.5,45900,Weekday,Monday,Light_Load
51,3.67,0.0,16.63,0.0,100.0,21.55,46800,Weekday,Monday,Light_Load
52,4.25,0.0,23.33,0.0,100.0,17.92,47700,Weekday,Monday,Light_Load
53,3.64,0.0,16.74,0.0,100.0,21.25,48600,Weekday,Monday,Light_Load
54,3.67,0.0,16.99,0.0,100.0,21.11,49500,Weekday,Monday,Light_Load
55,4.28,0.0,23.4,0.0,100.0,17.99,50400,Weekday,Monday,Light_Load
56,3.64,0.0,16.67,0.0,100.0,21.33,51300,Weekday,Monday,Light_Load
57,3.78,0.0,18.25,0.0,100.0,20.28,52200,Weekday,Monday,Light_Load
58,4.1,0.0,22.1,0.0,100.0,18.24,53100,Weekday,Monday,Light_Load
59,3.64,0.0,16.7,0.0,100.0,21.3,54000,Weekday,Monday,Light_Load
60,3.92,0.0,19.33,0.0,100.0,19.87,54900,Weekday,Monday,Light_Load
61,4.1,0.0,21.35,0.0,100.0,18.86,55800,Weekday,Monday,Light_Load
62,3.6,0.0,16.81,0.0,100.0,20.94,56700,Weekday,Monday,Light_Load
63,3.96,0.0,20.45,0.0,100.0,19.01,57600,Weekday,Monday,Light_Load
64,4.0,0.0,20.77,0.0,100.0,18.91,58500,Weekday,Monday,Light_Load
65,3.6,0.0,16.81,0.0,100.0,20.94,59400,Weekday,Monday,Light_Load
66,4.07,0.0,21.64,0.0,100.0,18.48,60300,Weekday,Monday,Light_Load
67,3.82,0.0,19.19,0.0,100.0,19.52,61200,Weekday,Monday,Light_Load
68,3.56,0.0,16.96,0.0,100.0,20.54,62100,Weekday,Monday,Light_Load
69,4.1,0.0,23.51,0.0,100.0,17.18,63000,Weekday,Monday,Light_Load
70,3.6,0.0,17.39,0.0,100.0,20.27,63900,Weekday,Monday,Light_Load
71,3.6,0.0,17.35,0.0,100.0,20.32,64800,Weekday,Monday,Light_Load
72,4.0,0.0,8.96,0.0,100.0,40.77,65700,Weekday,Monday,Light_Load
73,3.42,0.0,5.47,0.0,100.0,53.01,66600,Weekday,Monday,Light_Load
74,3.67,0.0,16.24,0.0,100.0,22.04,67500,Weekday,Monday,Light_Load
75,4.07,0.0,22.57,0.0,100.0,17.75,68400,Weekday,Monday,Light_Load
76,3.53,0.0,17.39,0.0,100.0,19.89,69300,Weekday,Monday,Light_Load
77,3.85,0.0,20.74,0.0,100.0,18.25,70200,Weekday,Monday,Light_Load
78,3.96,0.0,20.88,0.0,100.0,18.63,71100,Weekday,Monday,Light_Load
79,3.56,0.0,17.35,0.0,100.0,20.1,72000,Weekday,Monday,Light_Load
80,4.03,0.0,22.54,0.0,100.0,17.6,72900,Weekday,Monday,Light_Load
81,3.74,0.0,19.55,0.0,100.0,18.79,73800,Weekday,Monday,Light_Load
82,3.56,0.0,17.42,0.0,100.0,20.02,74700,Weekday,Monday,Light_Load
83,4.21,0.0,24.26,0.0,100.0,17.1,75600,Weekday,Monday,Light_Load
